SEED-3141592      sonar    sonar       sonar     sonar    sonar
ALGORITHMS        FITNESS  CLASS_RATE  RED_RATE  TIME     TRAIN
1NN               43.7573  87.5145     0.0000    0.0011   42.6672
RANDOM            46.7753  86.5505     7.0000    0.0000   46.2895
RELIEF            49.4419  86.5505     12.3333   0.0018   49.0727
RELIEF+LS         80.0488  82.7642     77.3333   2.9300   84.9415
RANDOM+LS         76.4181  87.5029     65.3333   3.4927   78.6998
AGG-BLX           73.0314  86.0627     60.0000   14.5157  75.9729
AGG-CA            71.3235  83.6469     59.0000   14.4719  74.3315
AGE-BLX           73.6742  87.0151     60.3333   14.5265  75.5375
AGE-CA            69.8641  87.0616     52.6667   14.4758  71.7648
AM-10-1.0         79.7991  85.5981     74.0000   14.9709  83.2128
AM-10-0.1         76.3351  83.6702     69.0000   14.5708  80.2308
AM-10-0.1mej      75.4071  79.8142     71.0000   14.6893  82.2553
SA                80.5494  85.0987     76.0000   14.7928  84.1525
ILS               80.2456  80.8246     79.6667   14.7176  86.0468
DE-RAND           84.0023  79.3380     88.6667   14.5581  91.5085
DE-CURRENTTOBEST  72.0738  83.1475     61.0000   14.5087  75.0300
