SEED-3141592      sonar    sonar       sonar     sonar    sonar    wdbc     wdbc        wdbc      wdbc     wdbc     spambase-460  spambase-460  spambase-460  spambase-460  spambase-460
ALGORITHMS        FITNESS  CLASS_RATE  RED_RATE  TIME     TRAIN    FITNESS  CLASS_RATE  RED_RATE  TIME     TRAIN    FITNESS       CLASS_RATE    RED_RATE      TIME          TRAIN
1NN               43.7573  87.5145     0.0000    0.0011   42.6672  47.3630  94.7260     0.0000    0.0044   47.7591  41.8478       83.6957       0.0000        0.0053        42.1196
RELIEF            49.4419  86.5505     12.3333   0.0018   49.0727  48.8741  95.0815     2.6667    0.0064   49.0707  55.1163       88.4783       21.7544       0.0080        54.9261
RANDOM+LS         76.6620  87.9907     65.3333   3.4512   78.6998  87.0281  91.3895     82.6667   7.2895   88.7193  82.8604       87.8261       77.8947       23.1831       84.0832
AGG-BLX           73.0314  86.0627     60.0000   14.7839  75.9729  82.4515  94.9030     70.0000   55.5272  82.6053  80.2441       84.3478       76.1404       67.5164       82.6626
AM-10-0.1mej      75.4071  79.8142     71.0000   14.8229  82.2553  90.9938  89.9876     92.0000   57.0030  92.5290  85.4996       86.0870       84.9123       66.9615       87.7279
SA                81.8176  80.3020     83.3333   10.8591  88.9630  92.6254  91.9174     93.3333   37.7036  93.5032  88.4573       86.7391       90.1754       54.3363       90.7942
ILS               80.0076  80.3484     79.6667   15.0680  86.0468  92.8199  92.9731     92.6667   57.5106  93.7413  87.4962       85.8696       89.1228       69.3203       90.0505
DE-RAND           83.7700  78.8734     88.6667   14.7855  91.5085  92.4515  91.5696     93.3333   54.9222  93.8109  87.5038       84.1304       90.8772       67.4218       91.4712
DE-CURRENTTOBEST  71.8298  82.6597     61.0000   14.5462  75.0300  85.0106  94.0211     76.0000   56.9336  85.2324  72.2407       84.1304       60.3509       67.1368       74.3602
