				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	80.7692	23.2284	93.2692	
PARTITION (0,1)	83.6538	23.0724	87.5000	
PARTITION (1,0)	82.6923	23.1348	95.1923	
PARTITION (1,1)	87.5000	23.1660	92.3077	
PARTITION (2,0)	79.8077	23.2128	88.4615	
PARTITION (2,1)	78.8462	23.1660	93.2692	
PARTITION (3,0)	83.6538	23.1192	92.3077	
PARTITION (3,1)	81.7308	23.2908	89.4231	
PARTITION (4,0)	80.7692	23.0880	94.2308	
PARTITION (4,1)	84.6154	23.0880	91.3462	
MEAN			82.4038	23.1567	91.7308	
STDEV			2.4344	0.0668	2.4020	
