07/04/17-01:05:08   SONAR                               WDBC                                SPAM
ALGORITMO           FITNESS     TIME        TRAIN       FITNESS     TIME        TRAIN       FITNESS     TIME        TRAIN
1NN                 83.3653     0.0014      -           95.6059     0.006       -           82.1304     0.0078      -
RANDOM              82.9807     0.0000      81.2500     95.2897     0.0000      95.2371     81.4347     0.0000      82.5652
RELIEF              84.1346     0.0023      83.5577     95.4299     0.0140      95.3947     81.7391     0.0109      81.6957
RANDOM+LS           82.6923     2.5821      86.5385     95.2901     5.3552      96.7308     82.1739     13.1773     89.6087
RELIEF+LS           83.6538     2.2362      86.2500     95.2892     4.7527      96.8714     82.4783     13.2536     89.6957
AGG-BLX             84.4231     22.8874     90.5769     95.0082     93.4013     97.7851     83.7391     104.2513    89.0435
AGG-CA              82.1154     22.6501     89.4231     95.3594     92.7768     96.9766     82.8261     104.2039    90.4348
AGE-BLX             82.7885     22.5989     90.5769     95.0082     92.7891     97.7851     82.2609     103.8899    88.9130
AGE-CA              84.2308     22.5771     89.6154     95.2545     92.6175     96.8714     83.1739     103.9355    91.3913
AM-10-1.0           83.3654     22.9188     91.3462     94.8317     95.1613     97.9260     84.6957     109.9509    93.0000
AM-10-0.1           81.8269     23.1099     87.2115     95.1490     94.6559     96.8007     82.2174     106.7946    89.6957
AM-10-0.1mej        82.4038     23.9544     91.7308     95.2896     93.5147     98.0311     83.3913     105.5227    92.1304
