				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	80.7692	22.7236	93.2692	
PARTITION (0,1)	84.6154	22.6532	86.5385	
PARTITION (1,0)	80.7692	22.6718	93.2692	
PARTITION (1,1)	87.5000	22.7664	91.3462	
PARTITION (2,0)	80.7692	22.7523	87.5000	
PARTITION (2,1)	79.8077	22.7010	90.3846	
PARTITION (3,0)	83.6538	22.7820	91.3462	
PARTITION (3,1)	85.5769	22.7156	90.3846	
PARTITION (4,0)	77.8846	22.6778	93.2692	
PARTITION (4,1)	85.5769	22.7040	88.4615	
MEAN			82.6923	22.7148	90.5769	
STDEV			2.9480	0.0406	2.3079	
