				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	86.0870	103.9886	86.9565	
PARTITION (0,1)	83.9130	103.8472	90.0000	
PARTITION (1,0)	86.5217	104.1160	86.0870	
PARTITION (1,1)	80.0000	104.7405	91.3043	
PARTITION (2,0)	81.7391	104.5136	88.6957	
PARTITION (2,1)	83.0435	104.1018	89.1304	
PARTITION (3,0)	83.0435	104.5226	89.5652	
PARTITION (3,1)	83.0435	104.1580	88.6957	
PARTITION (4,0)	84.3478	104.2864	89.5652	
PARTITION (4,1)	85.6522	104.2382	90.4348	
MEAN			83.7391	104.2513	89.0435	
STDEV			1.9171	0.2615	1.4784	
