				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	96.4789	94.1056	98.2456	
PARTITION (0,1)	95.0877	93.5626	97.8873	
PARTITION (1,0)	94.7183	94.4338	96.8421	
PARTITION (1,1)	95.0877	93.7132	97.5352	
PARTITION (2,0)	93.3099	94.4156	97.8947	
PARTITION (2,1)	96.8421	92.7518	96.1268	
PARTITION (3,0)	93.3099	93.1542	98.5965	
PARTITION (3,1)	95.0877	92.3046	97.5352	
PARTITION (4,0)	95.4225	93.1008	98.5965	
PARTITION (4,1)	94.7368	92.4708	98.5916	
MEAN			95.0082	93.4013	97.7851	
STDEV			1.0789	0.7315	0.7725	
