SEED-28       sonar    sonar    sonar    wdbc     wdbc     wdbc     spambase-460  spambase-460  spambase-460
ALGORITHMS    FITNESS  TIME     TRAIN    FITNESS  TIME     TRAIN    FITNESS       TIME          TRAIN
1NN           82.7885  0.0016   82.7885  95.0787  0.0062   95.0787  82.3043       0.0094        82.3043
RANDOM        81.3462  0.0000   81.8269  94.5519  0.0000   95.3942  83.2174       0.0000        83.3043
RELIEF        82.9808  0.0016   82.8846  94.8327  0.0094   94.8682  81.3043       0.0109        81.8696
RELIEF+LS     82.6923  2.5943   86.5385  94.9736  5.2073   96.4851  81.6522       15.3957       90.0435
RANDOM+LS     81.5385  2.6504   87.4038  94.7623  4.4460   96.3441  83.3478       17.7263       91.0435
AGG-BLX       82.2115  22.7058  90.8654  94.8326  92.7078  97.1177  83.3478       103.7589      89.6087
AGG-CA        82.4038  22.6185  89.3269  95.1144  92.7016  96.9423  82.6522       103.7027      90.8261
AGE-BLX       81.8269  22.4422  90.6731  94.9031  92.1572  97.1880  83.1739       103.3720      89.0000
AGE-CA        83.9423  22.4126  88.5577  95.1144  92.1057  96.8718  83.2609       103.4329      90.9565
AM-10-1.0     82.3077  23.1364  91.3462  94.6223  93.3740  97.5747  83.1739       110.2984      92.1739
AM-10-0.1     81.5385  22.7433  86.5385  94.9381  93.2663  96.0282  82.5652       104.4734      88.8261
AM-10-0.1mej  84.2308  22.7292  91.5385  95.1143  93.2398  97.3989  83.3478       104.4359      92.4783
