SEED-358313   sonar    sonar    sonar    wdbc     wdbc     wdbc     spambase-460  spambase-460  spambase-460
ALGORITHMS    FITNESS  TIME     TRAIN    FITNESS  TIME     TRAIN    FITNESS       TIME          TRAIN
1NN           80.5769  0.0016   80.5769  95.8180  0.0047   95.8180  83.6087       0.0062        83.6087
RANDOM        80.0962  0.0000   80.3846  95.3963  0.0000   95.3615  83.6087       0.0000        82.9565
RELIEF        81.0577  0.0016   81.4423  95.7125  0.0125   95.7822  83.2609       0.0109        83.4348
RELIEF+LS     80.7692  2.6629   84.4231  95.7128  4.5365   96.9070  83.0000       14.9542       90.3913
RANDOM+LS     80.3846  2.7316   86.2500  95.2559  5.3617   97.1185  83.1304       15.3754       90.6957
AGG-BLX       82.0192  22.6871  89.6154  95.6775  92.6891  98.0673  85.0000       103.6622      90.5217
AGG-CA        80.9615  22.6481  88.2692  95.1509  92.6579  97.3642  83.3043       103.6310      91.5652
AGE-BLX       80.8654  22.4718  88.8462  95.0798  92.0651  97.8916  84.1739       103.3143      90.0435
AGE-CA        82.1154  22.4094  87.2115  95.6427  92.1587  97.6101  84.8696       103.2457      91.5652
AM-10-1.0     80.7692  23.1598  89.9038  95.6416  93.3334  98.1726  84.9130       110.2641      92.9130
AM-10-0.1     81.6346  22.7620  84.9038  95.6075  93.3069  96.8022  83.3043       104.4375      87.9565
AM-10-0.1mej  82.2115  23.0927  90.0000  95.0807  94.1883  98.1726  84.5217       104.4952      91.9565
