				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	81.7308	22.4328	88.4615	
PARTITION (0,1)	76.9231	22.4796	89.4231	
PARTITION (1,0)	84.6154	22.6200	89.4231	
PARTITION (1,1)	85.5769	22.4640	89.4231	
PARTITION (2,0)	80.7692	22.4952	83.6538	
PARTITION (2,1)	74.0385	22.4016	89.4231	
PARTITION (3,0)	82.6923	22.4484	87.5000	
PARTITION (3,1)	78.8462	22.4484	90.3846	
PARTITION (4,0)	84.6154	22.4796	86.5385	
PARTITION (4,1)	78.8462	22.4484	94.2308	
MEAN			80.8654	22.4718	88.8462	
STDEV			3.5315	0.0555	2.5872	
