				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	87.5000	22.4172	91.3462	
PARTITION (0,1)	86.5385	22.4484	89.4231	
PARTITION (1,0)	84.6154	22.4172	92.3077	
PARTITION (1,1)	83.6538	22.3704	90.3846	
PARTITION (2,0)	81.7308	22.3080	90.3846	
PARTITION (2,1)	81.7308	22.4172	89.4231	
PARTITION (3,0)	88.4615	22.4172	88.4615	
PARTITION (3,1)	80.7692	22.4640	93.2692	
PARTITION (4,0)	80.7692	22.4172	90.3846	
PARTITION (4,1)	83.6538	22.4016	85.5769	
MEAN			83.9423	22.4079	90.0962	
STDEV			2.6525	0.0413	2.0193	
