				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	80.7692	22.6200	89.4231	
PARTITION (0,1)	77.8846	22.6200	91.3462	
PARTITION (1,0)	78.8462	22.6980	88.4615	
PARTITION (1,1)	83.6538	22.6356	87.5000	
PARTITION (2,0)	79.8077	22.6668	82.6923	
PARTITION (2,1)	77.8846	22.6356	89.4231	
PARTITION (3,0)	85.5769	22.6512	86.5385	
PARTITION (3,1)	77.8846	22.6356	88.4615	
PARTITION (4,0)	88.4615	22.6824	85.5769	
PARTITION (4,1)	78.8462	22.6356	93.2692	
MEAN			80.9615	22.6481	88.2692	
STDEV			3.5147	0.0234	2.8133	
