				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	78.8462	23.3064	92.3077	
PARTITION (0,1)	82.6923	23.3064	92.3077	
PARTITION (1,0)	88.4615	23.3220	90.3846	
PARTITION (1,1)	79.8077	23.2596	94.2308	
PARTITION (2,0)	83.6538	23.2128	90.3846	
PARTITION (2,1)	78.8462	23.2596	92.3077	
PARTITION (3,0)	92.3077	23.2284	91.3462	
PARTITION (3,1)	87.5000	23.1816	93.2692	
PARTITION (4,0)	75.9615	23.3220	94.2308	
PARTITION (4,1)	86.5385	23.7588	91.3462	
MEAN			83.4615	23.3158	92.2115	
STDEV			4.9180	0.1549	1.3225	
