				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	82.1739	103.6154	92.6087	
PARTITION (0,1)	83.9130	103.6154	90.0000	
PARTITION (1,0)	82.6087	103.6778	91.3043	
PARTITION (1,1)	84.7826	103.1318	93.4783	
PARTITION (2,0)	82.1739	103.1630	88.2609	
PARTITION (2,1)	82.1739	103.2254	90.4348	
PARTITION (3,0)	81.7391	103.6778	92.6087	
PARTITION (3,1)	87.3913	103.5686	89.1304	
PARTITION (4,0)	79.1304	103.2254	93.9130	
PARTITION (4,1)	86.5217	103.4282	87.8261	
MEAN			83.2609	103.4329	90.9565	
STDEV			2.3189	0.2142	2.0559	
