				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	83.4783	103.5374	90.0000	
PARTITION (0,1)	80.8696	103.6310	90.8696	
PARTITION (1,0)	84.3478	103.5062	91.7391	
PARTITION (1,1)	85.2174	103.7714	89.5652	
PARTITION (2,0)	83.4783	103.6310	93.9130	
PARTITION (2,1)	85.6522	103.7714	90.0000	
PARTITION (3,0)	84.3478	103.5998	92.6087	
PARTITION (3,1)	81.3043	103.6466	93.9130	
PARTITION (4,0)	85.6522	103.7246	90.8696	
PARTITION (4,1)	78.6957	103.4906	92.1739	
MEAN			83.3043	103.6310	91.5652	
STDEV			2.1931	0.0988	1.4964	
