				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	85.6522	110.1206	90.8696	
PARTITION (0,1)	83.0435	110.3234	93.4783	
PARTITION (1,0)	82.1739	110.3858	94.7826	
PARTITION (1,1)	86.9565	110.4170	91.7391	
PARTITION (2,0)	89.5652	110.1986	93.0435	
PARTITION (2,1)	87.8261	110.1830	93.4783	
PARTITION (3,0)	80.4348	110.2454	92.1739	
PARTITION (3,1)	83.4783	110.2610	90.8696	
PARTITION (4,0)	83.4783	110.2610	92.6087	
PARTITION (4,1)	81.7391	110.2298	93.0435	
MEAN			84.4348	110.2626	92.6087	
STDEV			2.7893	0.0884	1.1668	
