				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	94.3662	92.4926	96.8421	
PARTITION (0,1)	93.6842	91.8218	97.5352	
PARTITION (1,0)	94.0141	92.4146	97.5439	
PARTITION (1,1)	95.7895	91.8062	96.4789	
PARTITION (2,0)	95.7747	92.3990	95.4386	
PARTITION (2,1)	93.3333	91.8062	97.8873	
PARTITION (3,0)	92.9577	92.5706	98.2456	
PARTITION (3,1)	95.4386	91.8374	96.4789	
PARTITION (4,0)	96.8310	92.4302	97.8947	
PARTITION (4,1)	96.8421	91.9934	97.5352	
MEAN			94.9031	92.1572	97.1880	
STDEV			1.3463	0.3141	0.8173	
