				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	92.9577	92.3210	96.4912	
PARTITION (0,1)	95.0877	91.7438	97.1831	
PARTITION (1,0)	94.3662	92.3522	98.5965	
PARTITION (1,1)	96.8421	91.7750	96.1268	
PARTITION (2,0)	95.7747	92.4926	97.1930	
PARTITION (2,1)	93.3333	91.5566	97.5352	
PARTITION (3,0)	94.7183	92.2430	97.5439	
PARTITION (3,1)	95.4386	91.7750	96.8310	
PARTITION (4,0)	96.4789	92.4146	97.1930	
PARTITION (4,1)	96.4912	91.8374	98.2394	
MEAN			95.1489	92.0511	97.2933	
STDEV			1.2570	0.3263	0.7043	
