				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	94.3662	92.9606	96.8421	
PARTITION (0,1)	94.7368	92.3990	97.1831	
PARTITION (1,0)	94.7183	92.9294	97.1930	
PARTITION (1,1)	96.8421	92.2742	96.1268	
PARTITION (2,0)	96.8310	92.9762	95.4386	
PARTITION (2,1)	93.3333	92.4146	97.8873	
PARTITION (3,0)	94.0141	93.0542	97.5439	
PARTITION (3,1)	95.0877	92.5082	96.4789	
PARTITION (4,0)	96.1268	93.0386	96.8421	
PARTITION (4,1)	95.0877	92.4614	97.8873	
MEAN			95.1144	92.7016	96.9423	
STDEV			1.1049	0.2965	0.7369	
