				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	94.3662	93.5534	96.8421	
PARTITION (0,1)	95.0877	92.8670	97.1831	
PARTITION (1,0)	94.3662	93.4754	97.8947	
PARTITION (1,1)	95.7895	92.7890	97.1831	
PARTITION (2,0)	96.1268	93.4910	95.7895	
PARTITION (2,1)	93.6842	92.9606	97.8873	
PARTITION (3,0)	93.6620	93.6314	98.5965	
PARTITION (3,1)	95.7895	93.0230	97.1831	
PARTITION (4,0)	97.1831	93.5222	97.8947	
PARTITION (4,1)	95.0877	93.0854	97.5352	
MEAN			95.1143	93.2398	97.3989	
STDEV			1.0721	0.3094	0.7221	
