				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	92.6056	93.6470	98.2456	
PARTITION (0,1)	95.7895	93.0074	97.8873	
PARTITION (1,0)	94.0141	93.6314	99.2982	
PARTITION (1,1)	96.8421	93.1010	97.1831	
PARTITION (2,0)	95.7747	93.8030	97.5439	
PARTITION (2,1)	94.7368	92.8670	98.2394	
PARTITION (3,0)	94.7183	93.5378	97.8947	
PARTITION (3,1)	95.4386	93.0386	97.5352	
PARTITION (4,0)	96.8310	93.6938	97.8947	
PARTITION (4,1)	94.3860	93.1322	98.5916	
MEAN			95.1137	93.3459	98.0314	
STDEV			1.2355	0.3292	0.5703	
