				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	85.2174	103.3814	89.5652	
PARTITION (0,1)	82.6087	103.1630	90.8696	
PARTITION (1,0)	78.6957	103.4750	89.1304	
PARTITION (1,1)	84.3478	103.3502	90.0000	
PARTITION (2,0)	86.0870	103.5218	90.0000	
PARTITION (2,1)	86.0870	103.4594	90.0000	
PARTITION (3,0)	83.9130	103.6466	89.5652	
PARTITION (3,1)	83.4783	103.4282	90.4348	
PARTITION (4,0)	86.5217	103.5998	89.1304	
PARTITION (4,1)	81.3043	103.5530	88.6957	
MEAN			83.8261	103.4578	89.7391	
STDEV			2.3236	0.1288	0.6211	
