				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	86.9565	104.5046	93.0435	
PARTITION (0,1)	80.4348	104.3330	93.9130	
PARTITION (1,0)	86.0870	104.7386	91.3043	
PARTITION (1,1)	84.3478	104.5514	92.1739	
PARTITION (2,0)	85.6522	104.6138	93.0435	
PARTITION (2,1)	82.1739	104.6138	92.6087	
PARTITION (3,0)	84.7826	104.7386	93.9130	
PARTITION (3,1)	86.0870	104.5046	95.6522	
PARTITION (4,0)	85.6522	104.7698	91.7391	
PARTITION (4,1)	79.5652	104.7542	91.3043	
MEAN			84.1739	104.6122	92.8696	
STDEV			2.4302	0.1362	1.2930	
