				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	86.5217	10.2648	89.5652	
PARTITION (0,1)	83.4783	16.5360	90.8696	
PARTITION (1,0)	83.9130	13.8684	91.3043	
PARTITION (1,1)	83.4783	19.3440	90.8696	
PARTITION (2,0)	82.6087	22.1520	92.6087	
PARTITION (2,1)	81.7391	18.5328	90.0000	
PARTITION (3,0)	85.2174	26.1768	90.0000	
PARTITION (3,1)	83.0435	26.0676	90.4348	
PARTITION (4,0)	82.1739	11.8716	88.6957	
PARTITION (4,1)	81.7391	15.1008	88.2609	
MEAN			83.3913	17.9915	90.2609	
STDEV			1.4527	5.2563	1.2016	
