				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	82.1739	13.7280	88.2609	
PARTITION (0,1)	78.6957	18.4548	90.4348	
PARTITION (1,0)	82.1739	20.4516	93.0435	
PARTITION (1,1)	82.6087	29.4685	87.8261	
PARTITION (2,0)	83.9130	19.1412	91.3043	
PARTITION (2,1)	84.3478	10.7172	90.0000	
PARTITION (3,0)	78.6957	13.8684	91.7391	
PARTITION (3,1)	86.5217	14.2116	90.4348	
PARTITION (4,0)	81.7391	13.4160	93.0435	
PARTITION (4,1)	80.8696	12.6672	87.3913	
MEAN			82.1739	16.6125	90.3478	
STDEV			2.3008	5.2149	1.9230	
