				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	80.4348	93.4783	106.1919	
PARTITION (0,1)	84.7826	89.5652	106.0417	
PARTITION (1,0)	81.7391	90.4348	105.3088	
PARTITION (1,1)	80.8696	88.6957	106.0611	
PARTITION (2,0)	81.3043	87.3913	105.3952	
PARTITION (2,1)	83.9130	90.0000	105.6342	
PARTITION (3,0)	82.6087	90.0000	105.1512	
PARTITION (3,1)	81.7391	90.4348	105.0694	
PARTITION (4,0)	85.2174	87.8261	104.9322	
PARTITION (4,1)	83.9130	92.6087	105.4090	
MEAN			82.6522	90.0435	105.5195	
STDEV			1.6085	1.8079	0.4250	
