				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	78.6957	96.5217	106.1301	
PARTITION (0,1)	88.6957	93.4783	106.2005	
PARTITION (1,0)	80.8696	93.9130	106.4901	
PARTITION (1,1)	83.0435	89.1304	106.1853	
PARTITION (2,0)	84.3478	93.9130	106.0044	
PARTITION (2,1)	79.1304	90.8696	106.3249	
PARTITION (3,0)	81.3043	93.0435	105.7278	
PARTITION (3,1)	83.4783	91.7391	105.2356	
PARTITION (4,0)	84.7826	89.1304	105.2154	
PARTITION (4,1)	79.5652	95.2174	107.3673	
MEAN			82.3913	92.6957	106.0881	
STDEV			2.9441	2.3314	0.5921	
