				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	79.1304	92.6087	18.4236	
PARTITION (0,1)	85.2174	86.9565	25.6776	
PARTITION (1,0)	79.1304	93.9130	36.5821	
PARTITION (1,1)	81.7391	90.8696	27.3000	
PARTITION (2,0)	83.0435	87.8261	11.8248	
PARTITION (2,1)	77.3913	90.8696	17.0508	
PARTITION (3,0)	82.1739	90.0000	12.6516	
PARTITION (3,1)	81.3043	91.3043	13.2288	
PARTITION (4,0)	86.5217	88.2609	13.0884	
PARTITION (4,1)	81.7391	90.8696	11.7000	
MEAN			81.7391	90.3478	18.7528	
STDEV			2.6376	2.0468	7.9966	
