				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.4225	98.2456	94.3520	
PARTITION (0,1)	95.7895	98.2394	93.7898	
PARTITION (1,0)	94.7183	97.8947	94.2784	
PARTITION (1,1)	93.3333	96.8310	92.8291	
PARTITION (2,0)	92.6056	98.2456	93.9706	
PARTITION (2,1)	92.6316	97.1831	93.3625	
PARTITION (3,0)	97.1831	96.8421	93.6001	
PARTITION (3,1)	93.3333	98.9437	93.8244	
PARTITION (4,0)	96.4789	97.5439	94.2224	
PARTITION (4,1)	95.7895	98.5916	93.0859	
MEAN			94.7286	97.8561	93.7315	
STDEV			1.5694	0.6932	0.4871	
