				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	94.3662	98.5965	94.2766	
PARTITION (0,1)	96.1404	95.7747	93.3107	
PARTITION (1,0)	95.4225	96.8421	93.3599	
PARTITION (1,1)	94.7368	96.8310	93.0115	
PARTITION (2,0)	94.0141	98.2456	94.0534	
PARTITION (2,1)	95.7895	95.7747	93.7054	
PARTITION (3,0)	94.0141	97.1930	94.0684	
PARTITION (3,1)	94.0351	96.8310	93.5307	
PARTITION (4,0)	95.0704	97.8947	94.1172	
PARTITION (4,1)	96.4912	97.1831	92.7327	
MEAN			95.0080	97.1166	93.6166	
STDEV			0.8761	0.8899	0.4901	
