				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.7747	98.2456	95.9939	
PARTITION (0,1)	94.0351	98.9437	94.9730	
PARTITION (1,0)	92.6056	97.5439	95.4510	
PARTITION (1,1)	95.4386	97.1831	94.7484	
PARTITION (2,0)	93.6620	98.2456	96.1325	
PARTITION (2,1)	94.7368	97.5352	95.1414	
PARTITION (3,0)	97.5352	96.8421	95.6583	
PARTITION (3,1)	94.7368	98.9437	95.2624	
PARTITION (4,0)	96.1268	97.1930	95.9267	
PARTITION (4,1)	94.3860	97.8873	94.7566	
MEAN			94.9038	97.8563	95.4044	
STDEV			1.3177	0.6932	0.4831	
