				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	83.6538	87.5000	22.7343	
PARTITION (0,1)	82.6923	90.3846	22.7003	
PARTITION (1,0)	80.7692	93.2692	22.6801	
PARTITION (1,1)	82.6923	90.3846	22.7157	
PARTITION (2,0)	79.8077	87.5000	22.7271	
PARTITION (2,1)	81.7308	91.3462	22.5355	
PARTITION (3,0)	80.7692	89.4231	22.8803	
PARTITION (3,1)	83.6538	92.3077	22.8943	
PARTITION (4,0)	84.6154	89.4231	22.6699	
PARTITION (4,1)	78.8462	85.5769	22.8075	
MEAN			81.9231	89.7115	22.7345	
STDEV			1.7624	2.2368	0.1004	
