				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	78.8462	92.3077	22.9705	
PARTITION (0,1)	86.5385	88.4615	22.8713	
PARTITION (1,0)	77.8846	92.3077	22.8359	
PARTITION (1,1)	84.6154	86.5385	22.8867	
PARTITION (2,0)	77.8846	90.3846	22.8673	
PARTITION (2,1)	86.5385	86.5385	22.8859	
PARTITION (3,0)	80.7692	87.5000	22.7415	
PARTITION (3,1)	77.8846	92.3077	22.9093	
PARTITION (4,0)	83.6538	87.5000	22.8853	
PARTITION (4,1)	76.9231	91.3462	22.8973	
MEAN			81.1538	89.5192	22.8751	
STDEV			3.6284	2.3334	0.0558	
