				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	80.4348	94.7826	105.1988	
PARTITION (0,1)	84.7826	90.0000	105.0280	
PARTITION (1,0)	83.0435	90.8696	105.2840	
PARTITION (1,1)	79.5652	90.8696	104.7656	
PARTITION (2,0)	80.8696	90.8696	105.2018	
PARTITION (2,1)	81.3043	93.4783	105.1332	
PARTITION (3,0)	82.1739	89.5652	104.7790	
PARTITION (3,1)	81.7391	93.9130	104.7578	
PARTITION (4,0)	83.9130	93.0435	104.9600	
PARTITION (4,1)	84.7826	91.3043	104.8096	
MEAN			82.2609	91.8696	104.9918	
STDEV			1.7258	1.6956	0.1952	
