SEED-360649   sonar    sonar    sonar    wdbc     wdbc     wdbc      spambase-460  spambase-460  spambase-460
ALGORITHMS    FITNESS  TRAIN    TIME     FITNESS  TRAIN    TIME      FITNESS       TRAIN         TIME
1NN           82.4038  82.4038  0.0019   94.9375  94.9375  0.0066    82.5217       82.5217       0.0069
RANDOM        82.5962  82.9808  0.0000   94.8669  94.7618  0.0000    83.3478       82.2609       0.0000
RELIEF        82.2115  85.7692  0.0028   95.1129  95.1488  0.0122    85.3043       86.8696       0.0140
RELIEF+LS     81.7308  91.4423  2.5010   95.0783  96.7658  5.5747    84.6522       92.7826       12.9023
RANDOM+LS     83.0769  89.3269  3.3357   95.0436  96.5546  5.6921    83.1304       90.0870       13.8476
AGG-BLX       82.6923  91.4423  22.9749  95.2540  97.5390  94.5873   83.2609       91.8261       106.2147
AGG-CA        82.2115  89.8077  23.0850  95.2186  97.1172  94.4759   82.6957       91.6522       106.0958
AGE-BLX       82.8846  91.6346  23.0018  95.1484  97.6096  94.4379   83.7826       92.4348       106.1381
AGE-CA        81.7308  90.1923  22.8910  95.1837  96.9061  94.4825   83.3043       90.7826       106.0830
AM-10-1.0     82.5962  91.9231  23.7649  94.6916  97.3983  100.1320  84.4783       92.1304       112.8741
AM-10-0.1     81.9231  91.1538  23.1700  95.0782  97.3280  95.0902   83.2174       91.5652       106.6405
AM-10-0.1mej  82.4038  90.9615  23.3015  95.1836  97.2928  96.4646   83.5217       92.1304       106.5108
