				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	81.7308	88.4615	23.0019	
PARTITION (0,1)	79.8077	91.3462	23.1223	
PARTITION (1,0)	81.7308	93.2692	22.9037	
PARTITION (1,1)	86.5385	92.3077	23.1233	
PARTITION (2,0)	78.8462	93.2692	22.7949	
PARTITION (2,1)	86.5385	90.3846	23.1655	
PARTITION (3,0)	85.5769	92.3077	22.8901	
PARTITION (3,1)	79.8077	90.3846	22.8741	
PARTITION (4,0)	82.6923	94.2308	22.8977	
PARTITION (4,1)	87.5000	94.2308	23.0187	
MEAN			83.0769	92.0192	22.9792	
STDEV			3.0468	1.7755	0.1198	
