				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	87.8261	92.1739	106.4967	
PARTITION (0,1)	84.3478	92.6087	105.8838	
PARTITION (1,0)	82.6087	94.3478	105.9218	
PARTITION (1,1)	83.9130	91.3043	107.1415	
PARTITION (2,0)	80.4348	93.4783	105.8612	
PARTITION (2,1)	83.0435	93.9130	106.6723	
PARTITION (3,0)	86.9565	94.7826	106.3033	
PARTITION (3,1)	83.9130	94.7826	106.4487	
PARTITION (4,0)	82.6087	90.4348	106.6009	
PARTITION (4,1)	82.6087	92.6087	106.4573	
MEAN			83.8261	93.0435	106.3787	
STDEV			2.0650	1.4024	0.3815	
