				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.7747	97.1930	94.6962	
PARTITION (0,1)	95.0877	98.5916	93.8081	
PARTITION (1,0)	95.7747	97.1930	94.8412	
PARTITION (1,1)	93.6842	98.2394	94.2611	
PARTITION (2,0)	95.7747	97.8947	94.5706	
PARTITION (2,1)	95.0877	97.5352	94.2682	
PARTITION (3,0)	95.7747	96.4912	95.1788	
PARTITION (3,1)	94.3860	98.2394	94.8437	
PARTITION (4,0)	96.8310	95.4386	94.8902	
PARTITION (4,1)	91.9298	99.2958	94.3504	
MEAN			95.0105	97.6112	94.5708	
STDEV			1.3151	1.0491	0.3827	
