				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	96.4789	96.4912	95.4272	
PARTITION (0,1)	95.0877	97.8873	94.0277	
PARTITION (1,0)	94.7183	96.1404	94.5644	
PARTITION (1,1)	94.0351	97.5352	94.1612	
PARTITION (2,0)	96.1268	97.1930	94.6070	
PARTITION (2,1)	96.8421	96.4789	94.1550	
PARTITION (3,0)	95.7747	96.1404	95.2940	
PARTITION (3,1)	93.6842	98.5916	94.3638	
PARTITION (4,0)	95.4225	94.7368	95.1942	
PARTITION (4,1)	91.5789	98.9437	94.0666	
MEAN			94.9749	97.0138	94.5861	
STDEV			1.4856	1.2059	0.5078	
