				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	94.0141	98.5965	95.6931	
PARTITION (0,1)	95.7895	96.4789	94.8356	
PARTITION (1,0)	93.3099	98.2456	95.4164	
PARTITION (1,1)	96.4912	97.5352	94.1194	
PARTITION (2,0)	95.7747	96.8421	95.4102	
PARTITION (2,1)	95.7895	96.8310	94.7478	
PARTITION (3,0)	93.6620	98.2456	95.0260	
PARTITION (3,1)	94.3860	97.1831	95.0990	
PARTITION (4,0)	96.1268	96.4912	95.5589	
PARTITION (4,1)	95.4386	96.8310	94.9958	
MEAN			95.0782	97.3280	95.0902	
STDEV			1.0717	0.7428	0.4397	
