				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	82.6923	91.3462	22.5520	
PARTITION (0,1)	82.6923	93.2692	22.5804	
PARTITION (1,0)	84.6154	91.3462	22.6300	
PARTITION (1,1)	82.6923	90.3846	22.6008	
PARTITION (2,0)	81.7308	93.2692	22.5716	
PARTITION (2,1)	85.5769	91.3462	22.5240	
PARTITION (3,0)	86.5385	93.2692	22.6532	
PARTITION (3,1)	81.7308	92.3077	22.5656	
PARTITION (4,0)	76.9231	91.3462	22.5582	
PARTITION (4,1)	83.6538	91.3462	22.8308	
MEAN			82.8846	91.9231	22.6067	
STDEV			2.5001	0.9808	0.0830	
