				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	88.4615	91.3462	22.6333	
PARTITION (0,1)	85.5769	94.2308	22.5447	
PARTITION (1,0)	81.7308	92.3077	22.4591	
PARTITION (1,1)	87.5000	85.5769	22.4105	
PARTITION (2,0)	85.5769	87.5000	22.4425	
PARTITION (2,1)	82.6923	91.3462	22.3773	
PARTITION (3,0)	84.6154	89.4231	22.4513	
PARTITION (3,1)	82.6923	88.4615	22.4715	
PARTITION (4,0)	83.6538	88.4615	22.5023	
PARTITION (4,1)	76.9231	94.2308	22.5309	
MEAN			83.9423	90.2885	22.4823	
STDEV			3.1024	2.7347	0.0703	
