				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	84.6154	91.3462	22.8685	
PARTITION (0,1)	85.5769	88.4615	22.9623	
PARTITION (1,0)	85.5769	92.3077	22.9375	
PARTITION (1,1)	78.8462	95.1923	23.0081	
PARTITION (2,0)	85.5769	87.5000	22.8829	
PARTITION (2,1)	76.9231	91.3462	23.0045	
PARTITION (3,0)	83.6538	92.3077	22.9121	
PARTITION (3,1)	83.6538	92.3077	22.9823	
PARTITION (4,0)	81.7308	96.1538	23.0785	
PARTITION (4,1)	87.5000	86.5385	22.9393	
MEAN			83.3654	91.3462	22.9576	
STDEV			3.1321	2.9480	0.0605	
