				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	80.8696	91.3043	104.3914	
PARTITION (0,1)	87.8261	87.8261	104.2015	
PARTITION (1,0)	86.9565	92.1739	104.2979	
PARTITION (1,1)	86.9565	93.4783	103.9761	
PARTITION (2,0)	82.6087	90.4348	103.7227	
PARTITION (2,1)	84.7826	92.1739	103.8217	
PARTITION (3,0)	81.3043	93.9130	103.6739	
PARTITION (3,1)	83.9130	87.8261	103.5569	
PARTITION (4,0)	85.6522	89.1304	103.8259	
PARTITION (4,1)	82.1739	91.3043	103.7019	
MEAN			84.3043	90.9565	103.9170	
STDEV			2.3851	2.0375	0.2724	
