				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	80.8696	91.7391	104.4944	
PARTITION (0,1)	79.1304	89.1304	103.8085	
PARTITION (1,0)	86.5217	93.0435	104.4700	
PARTITION (1,1)	81.7391	92.6087	103.9589	
PARTITION (2,0)	83.4783	92.1739	104.0267	
PARTITION (2,1)	86.9565	91.3043	104.2716	
PARTITION (3,0)	77.8261	93.9130	103.9753	
PARTITION (3,1)	88.2609	89.1304	103.8397	
PARTITION (4,0)	83.9130	90.4348	103.7347	
PARTITION (4,1)	82.1739	90.8696	103.9061	
MEAN			83.0870	91.4348	104.0486	
STDEV			3.2445	1.5068	0.2558	
