				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	80.8696	94.7826	11.4529	
PARTITION (0,1)	83.0435	87.8261	18.2042	
PARTITION (1,0)	89.1304	93.9130	11.1998	
PARTITION (1,1)	85.2174	90.8696	16.2349	
PARTITION (2,0)	83.9130	88.6957	11.5367	
PARTITION (2,1)	81.3043	90.4348	10.7248	
PARTITION (3,0)	77.3913	91.7391	15.9139	
PARTITION (3,1)	87.3913	89.1304	10.3066	
PARTITION (4,0)	83.0435	91.7391	12.3069	
PARTITION (4,1)	83.4783	90.8696	12.4165	
MEAN			83.4783	91.0000	13.0297	
STDEV			3.1535	2.0764	2.5896	
