				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	87.5000	92.3077	20.6578	
PARTITION (0,1)	83.6538	93.2692	20.6100	
PARTITION (1,0)	73.0769	95.1923	20.6448	
PARTITION (1,1)	85.5769	87.5000	20.6460	
PARTITION (2,0)	83.6538	91.3462	20.9784	
PARTITION (2,1)	81.7308	94.2308	20.7520	
PARTITION (3,0)	87.5000	92.3077	20.5612	
PARTITION (3,1)	82.6923	93.2692	20.5758	
PARTITION (4,0)	83.6538	91.3462	20.8652	
PARTITION (4,1)	83.6538	91.3462	20.5722	
MEAN			83.2692	92.2115	20.6864	
STDEV			3.8509	1.9919	0.1314	
