				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	82.6923	23.0424	93.2692	
PARTITION (0,1)	86.5385	23.0300	87.5000	
PARTITION (1,0)	82.6923	23.1194	93.2692	
PARTITION (1,1)	85.5769	24.1293	91.3462	
PARTITION (2,0)	80.7692	23.3208	87.5000	
PARTITION (2,1)	83.6538	23.1502	90.3846	
PARTITION (3,0)	85.5769	23.2132	90.3846	
PARTITION (3,1)	86.5385	23.2039	89.4231	
PARTITION (4,0)	82.6923	23.0400	93.2692	
PARTITION (4,1)	87.5000	22.8946	89.4231	
MEAN			84.4231	23.2144	90.5769	
STDEV			2.0976	0.3253	2.0979	
