				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	79.8077	23.8563	93.2692	
PARTITION (0,1)	86.5385	24.6569	88.4615	
PARTITION (1,0)	81.7308	24.3605	93.2692	
PARTITION (1,1)	82.6923	24.4284	93.2692	
PARTITION (2,0)	82.6923	26.2185	89.4231	
PARTITION (2,1)	78.8462	26.6875	89.4231	
PARTITION (3,0)	82.6923	26.5915	92.3077	
PARTITION (3,1)	89.4231	25.2674	89.4231	
PARTITION (4,0)	83.6538	25.4245	94.2308	
PARTITION (4,1)	85.5769	25.6143	90.3846	
MEAN			83.3654	25.3106	91.3462	
STDEV			2.9808	0.9323	2.0170	
